Imagen,Scene_coordinate_system,Area_px,Area_mm2,Perimetro_px,Perimetro_mm,Diametro_px,Diametro_mm,Escala_mm_por_px
xy003,-23.48485,120534,1.134160111408032,1762.087437748909,5.405176189413831,391.7507565852402,1.2016894373780374,0.003067484662576687
xy003,-23.48485,2509,0.023608340547254324,224.85281252861023,0.6897325537687431,56.52042124525014,0.17337552529217834,0.003067484662576687
xy003,-23.48485,6045,0.056880198727840725,313.25483322143555,0.9609043963847717,87.7310267118997,0.26911357887085796,0.003067484662576687
xy003,-23.48485,1143,0.010755015243328692,164.97056245803833,0.506044670116682,38.14856222234714,0.11702012951640227,0.003067484662576687
xy003,-23.48485,5164,0.048590462569159554,324.9949480295181,0.9969170184954544,81.0864292530654,0.24873137807688775,0.003067484662576687
xy003,-23.48485,1055,0.00992698257367609,133.1543276309967,0.4084488577637936,36.6506169074355,0.1124252052375322,0.003067484662576687
xy003,-23.48485,701,0.006596032970755393,109.01219236850739,0.3343932281242558,29.87542335866304,0.09164240294068417,0.003067484662576687
xy003,-23.48485,16426,0.15455982536038243,790.0315252542496,2.4234095866694774,144.6175396064384,0.44361208468232644,0.003067484662576687
xy003,-23.48485,4423,0.041618051112198434,254.9949473142624,0.7821930899210503,75.04357738250239,0.23019502264571287,0.003067484662576687
xy003,-23.48485,2612,0.024577515149234074,191.33809316158295,0.586926666139825,57.66889708368147,0.17689845731190637,0.003067484662576687
xy003,-23.48485,3202,0.030129097820768568,223.03657841682434,0.6841612834871913,63.850708862486336,0.1958610701303262,0.003067484662576687
xy003,-23.48485,3337,0.031399375211712904,220.20815014839172,0.6754851231545759,65.18282258986058,0.19994730855785453,0.003067484662576687
xy003,-23.48485,4629,0.043556400316157935,261.3208478689194,0.8015976928494459,76.77125668229658,0.23549465239968276,0.003067484662576687
xy003,-23.48485,5264,0.049531408784673873,278.1076457500458,0.853090937883576,81.86777732103087,0.25112815129150573,0.003067484662576687
xy003,-23.48485,534,0.005024652790846476,87.11269772052765,0.2672168641733977,26.075082298788182,0.07998491502695762,0.003067484662576687
xy003,-23.48485,2551,0.024003537957770337,193.6812388896942,0.5941142297229884,56.991526375588506,0.17482063305395248,0.003067484662576687
xy003,-23.48485,5645,0.05311641386578344,292.69343173503876,0.897832612684168,84.77875459117098,0.2600575294207699,0.003067484662576687
xy003,-23.48485,2587,0.024342278595355493,198.89444231987,0.6101056512879448,57.39225298095437,0.17604985576979867,0.003067484662576687
xy003,-23.48485,2483,0.0233636945312206,189.43859815597534,0.5810999943434827,56.22680668131002,0.1724748671205829,0.003067484662576687
xy003,-23.48485,988,0.009296548609281495,135.4385986328125,0.41545582402703224,35.467741261579384,0.10879675233613308,0.003067484662576687
xy003,-23.48485,2911,0.027390944333621894,202.85281229019165,0.6222478904607106,60.88021283408969,0.1867491191229745,0.003067484662576687
xy003,-23.48485,3865,0.03636757122962852,238.79393684864044,0.7324967387995106,70.15034454941333,0.2151851059797955,0.003067484662576687
xy003,-23.48485,908,0.008543791636870038,111.9827550649643,0.34350538363485983,34.00149271163735,0.10429905739766057,0.003067484662576687
xy003,-23.48485,2350,0.022112236064586552,179.0954520702362,0.5493725523626878,54.700209598571305,0.16779205398334757,0.003067484662576687
xy003,-23.48485,46806,0.44041928563363325,992.710676908493,3.0451247757929236,244.12138400982823,0.7488386012571419,0.003067484662576687
xy003,-23.48485,3040,0.02860476495163537,215.72286903858185,0.6617265921428891,62.21453380035002,0.19084212822193258,0.003067484662576687
xy003,-23.48485,88061,0.8286066468440665,1250.9919856786728,3.8373987290756837,334.8473496220676,1.027139109270146,0.003067484662576687
xy003,-23.48485,2326,0.021886408972863113,181.09545302391052,0.5555075246132225,54.420172556268035,0.16693304465112896,0.003067484662576687
xy003,-23.48485,1356,0.012759230682374197,135.88224935531616,0.41681671581385327,41.55132756797165,0.1274580600244529,0.003067484662576687
xy003,-23.48485,348,0.003274492829989838,69.94112491607666,0.21454332796342535,21.049640414216977,0.06456944912336496,0.003067484662576687
xy003,-23.48485,3467,0.03262260529188152,224.35028684139252,0.6881910639306519,66.44036048665606,0.20380478676888364,0.003067484662576687
xy003,-23.48485,2645,0.0248880274003538,243.03657746315002,0.7455109738133436,58.03204800646368,0.17801241719774136,0.003067484662576687
xy003,-23.48485,1344,0.012646317136512479,135.88224959373474,0.4168167165451986,41.367063566611286,0.126892833026415,0.003067484662576687
xy003,-23.48485,3305,0.03109827242274832,216.16652023792267,0.6630874853924008,64.86953595756418,0.19898630661829503,0.003067484662576687
xy003,-23.48485,1436,0.013511987654785654,138.46803605556488,0.424748576857561,42.75946662716566,0.13116400805879036,0.003067484662576687
xy003,-23.48485,1918,0.018047348413564684,167.19595849514008,0.5128710383286506,49.41733953585565,0.15158693109158175,0.003067484662576687
xy003,-23.48485,2297,0.02161353457036396,178.6101713180542,0.5478839610983258,54.07985978399601,0.16588914044170555,0.003067484662576687
xy003,-23.48485,1606,0.01511159622116,148.46803665161133,0.4554234253116912,45.21971593060566,0.13871078506320755,0.003067484662576687
