Imagen,Scene_coordinate_system,Area_px,Area_mm2,Perimetro_px,Perimetro_mm,Diametro_px,Diametro_mm,Escala_mm_por_px
xy009_v2,-19.9495,804,0.007524120302739434,118.28427064418793,0.36184855057705345,31.99507140118726,0.09787751278405347,0.0030591434398368456
xy009_v2,-19.9495,1998,0.018698000453822625,182.08326017856598,0.5570188108793657,50.43741280419581,0.15429528050229852,0.0030591434398368456
xy009_v2,-19.9495,5707,0.05340815244743029,363.480228304863,1.1119381559292205,85.24305298265409,0.2607707263235509,0.0030591434398368456
xy009_v2,-19.9495,10053,0.09407957885999942,482.53405141830444,1.4761408778942011,113.13654203316712,0.34610091036658874,0.0030591434398368456
xy009_v2,-19.9495,3841,0.03594545532689324,290.30865573883057,0.8880958197312967,69.9322035354797,0.21393264167889778,0.0030591434398368456
xy009_v2,-19.9495,973,0.009105682903688395,121.59797942638397,0.37198566105963826,35.197472594311556,0.10767411738572535,0.0030591434398368456
xy009_v2,-19.9495,4170,0.03902435530152169,250.59292888641357,0.7665997144723733,72.86569083969236,0.22290660012142463,0.0030591434398368456
xy009_v2,-19.9495,273,0.0025548318938406287,60.28427076339722,0.18441823143119473,18.643883600599406,0.05703431420985542,0.0030591434398368456
xy009_v2,-19.9495,2205,0.020635180681020462,178.225395321846,0.5452170489111536,52.985782962423364,0.16209111035411633,0.0030591434398368456
xy009_v2,-19.9495,11582,0.10838850913722403,615.7888842821121,1.8837865256760737,121.43582835029642,0.37148961765896255,0.0030591434398368456
xy009_v2,-19.9495,2256,0.0211124569688808,186.36753118038177,0.5701250104090537,53.595040935916145,0.16395491788689506,0.0030591434398368456
xy009_v2,-19.9495,13099,0.1225851391114227,596.1736596822739,1.8237807400205521,129.14396926099917,0.39506992635927685,0.0030591434398368456
xy009_v2,-19.9495,5954,0.055719667018048,340.0660147666931,1.040310718184989,87.06818161276345,0.26635405659920836,0.0030591434398368456
xy009_v2,-19.9495,3824,0.0357863632309398,238.8528118133545,0.7306850123454081,69.77727437401995,0.21345869115097876,0.0030591434398368456
xy009_v2,-19.9495,2179,0.020391863357797545,183.53910422325134,0.5614724466380905,52.672468785675115,0.16113263734570904,0.0030591434398368456
xy009_v2,-19.9495,6519,0.06100713961885369,307.9066355228424,0.941930564141938,91.1057001077788,0.2787054048164545,0.0030591434398368456
xy009_v2,-19.9495,353,0.0033035005806803736,77.89949476718903,0.238305728383651,21.200319792199185,0.06485481921474938,0.0030591434398368456
xy009_v2,-19.9495,144,0.0013476036363115405,46.0,0.1407205982324949,13.540550005146152,0.04142248472002562,0.0030591434398368456
xy009_v2,-19.9495,308,0.002882374444333017,69.89949476718903,0.21383258086495624,19.802974013476614,0.060580138042586516,0.0030591434398368456
xy009_v2,-19.9495,3081,0.02883310280191567,214.2670258283615,0.655473566436184,62.63266749332202,0.1916023138816785,0.0030591434398368456
xy009_v2,-19.9495,2468,0.023096428989006122,201.72286939620972,0.6170991925784798,56.05671410639748,0.1714855292173954,0.0030591434398368456
xy009_v2,-19.9495,1698,0.01589049287817358,168.91168773174286,0.516725081436331,46.49688964823676,0.14224065494022123,0.0030591434398368456
xy009_v2,-19.9495,278,0.002601623686768113,62.28427052497864,0.1905365175815118,18.81384047546846,0.05755423666866626,0.0030591434398368456
xy009_v2,-19.9495,2503,0.023423971539498514,197.98275446891785,0.605657644534419,56.45279958046467,0.17269721149700273,0.0030591434398368456
xy009_v2,-19.9495,3418,0.031986869645228094,242.468035697937,0.7417445007754702,65.9691804095275,0.2018091854812194,0.0030591434398368456
xy009_v2,-19.9495,3683,0.03446683467038475,238.26702547073364,0.7288930078982334,68.47876490752155,0.20948636443497415,0.0030591434398368456
xy009_v2,-19.9495,3399,0.03180906083210365,222.02438509464264,0.6792044411460856,65.78556994170391,0.2012474947230915,0.0030591434398368456
xy009_v2,-19.9495,3663,0.03427966749867481,260.651801943779,0.7973712499979643,68.29257977529404,0.20891679740912522,0.0030591434398368456
xy009_v2,-19.9495,4994,0.04673564277597106,292.0660147666931,0.8934718330728205,79.74056863609265,0.24393783743196254,0.0030591434398368456
