Imagen,Area,Perimetro,Diametro
xy009_v2,804,118.28427064418793,31.99507140118726
xy009_v2,1998,182.08326017856598,50.43741280419581
xy009_v2,5707,363.480228304863,85.24305298265409
xy009_v2,10053,482.53405141830444,113.13654203316712
xy009_v2,3841,290.30865573883057,69.9322035354797
xy009_v2,973,121.59797942638397,35.197472594311556
xy009_v2,4170,250.59292888641357,72.86569083969236
xy009_v2,273,60.28427076339722,18.643883600599406
xy009_v2,2205,178.225395321846,52.985782962423364
xy009_v2,11582,615.7888842821121,121.43582835029642
xy009_v2,2256,186.36753118038177,53.595040935916145
xy009_v2,13099,596.1736596822739,129.14396926099917
xy009_v2,5954,340.0660147666931,87.06818161276345
xy009_v2,3824,238.8528118133545,69.77727437401995
xy009_v2,2179,183.53910422325134,52.672468785675115
xy009_v2,6519,307.9066355228424,91.1057001077788
xy009_v2,353,77.89949476718903,21.200319792199185
xy009_v2,144,46.0,13.540550005146152
xy009_v2,308,69.89949476718903,19.802974013476614
xy009_v2,3081,214.2670258283615,62.63266749332202
xy009_v2,2468,201.72286939620972,56.05671410639748
xy009_v2,1698,168.91168773174286,46.49688964823676
xy009_v2,278,62.28427052497864,18.81384047546846
xy009_v2,2503,197.98275446891785,56.45279958046467
xy009_v2,3418,242.468035697937,65.9691804095275
xy009_v2,3683,238.26702547073364,68.47876490752155
xy009_v2,3399,222.02438509464264,65.78556994170391
xy009_v2,3663,260.651801943779,68.29257977529404
xy009_v2,4994,292.0660147666931,79.74056863609265
xy009_v2,6007,307.9655101299286,87.45484517866419
xy009_v2,2586,202.2253954410553,57.381159474910675
xy009_v2,3641,239.48022830486298,68.08718809277357
xy009_v2,1877,173.78174436092377,48.886303045616984
xy009_v2,4626,260.5512957572937,76.74637537985011
xy009_v2,559,101.94112479686737,26.678472698169138
xy009_v2,5888,294.551295876503,86.58426207689615
xy009_v2,5044,279.4802281856537,80.13875631455832
xy009_v2,1297,138.08326017856598,40.63731892634535
xy009_v2,5291,291.0782083272934,82.0774660378459
xy009_v2,3588,241.7644990682602,67.58981792037736
xy009_v2,4416,260.2081514596939,74.98417052652165
xy009_v2,2210,189.78174495697021,53.04582352895192
xy009_v2,2163,194.20814990997314,52.478730312976865
xy009_v2,3666,240.99494779109955,68.32053989101013
xy009_v2,2176,188.61017155647278,52.63619713983633
xy009_v2,3591,293.52186036109924,67.61806862920568
xy009_v2,3448,245.86500442028046,66.25805573850504
xy009_v2,5944,306.8355664014816,86.99503350137758
xy009_v2,1318,142.2253954410553,40.96498163017951
xy009_v2,1729,162.71067667007446,46.91941147166166
xy009_v2,4070,256.55129647254944,71.98669979289308
xy009_v2,3694,247.0365778207779,68.58095127841032
xy009_v2,1760,165.98275518417358,47.33816218162558
xy009_v2,4291,250.69343090057373,73.91529534851757
xy009_v2,4507,288.6518018245697,75.75282587548388
xy009_v2,4133,252.83556818962097,72.54170551062629
xy009_v2,3584,234.85281193256378,67.55213193031604
xy009_v2,3874,240.7939372062683,70.23197274962466
xy009_v2,163,50.72792184352875,14.406180819073164
xy009_v2,139,43.55634891986847,13.303394180365686
xy009_v2,420,83.21320295333862,23.12489154112443
xy009_v2,633,104.76955187320709,28.38944578214513
xy009_v2,1288,138.56854104995728,40.49608047229867
xy009_v2,4850,273.42135524749756,78.5825158159596
xy009_v2,2378,188.50966608524323,55.02511824049283
xy009_v2,1236,137.74011421203613,39.67019129387532
xy009_v2,251,58.870057106018066,17.876888032555495
xy009_v2,2230,180.02438473701477,53.28530927713015
xy009_v2,2916,213.86500477790833,60.93247502315768
xy009_v2,2021,180.81118214130402,50.72688754408025
xy009_v2,2720,205.68123924732208,58.84905744087702
xy009_v2,241,62.62741661071777,17.517155313611116
xy009_v2,2550,204.95331728458405,56.98035485213009
xy009_v2,1925,177.58073377609253,49.507435033691536
xy009_v2,1460,181.78174436092377,43.115307436145436
xy009_v2,6641,399.5218584537506,91.9542484966639
xy009_v2,2041,205.43859827518463,50.97726856947582
xy009_v2,1597,152.6690467596054,45.09283261164744
xy009_v2,7438,362.391916513443,97.31575275226585
xy009_v2,3459,239.82337415218353,66.36366163224365
xy009_v2,3570,236.55129635334015,67.42006507490579
xy009_v2,930,126.08326005935669,34.41093978088511
xy009_v2,1855,172.9533168077469,48.5989645515594
xy009_v2,3357,235.58073353767395,65.37786438601326
xy009_v2,2957,211.43859899044037,61.35934593671836
xy009_v2,4298,250.6518031358719,73.97556058099005
xy009_v2,496,86.42640566825867,25.13019725725687
xy009_v2,4493,255.82337486743927,75.6350796555083
xy009_v2,3787,244.65180158615112,69.438880721913
xy009_v2,378,72.66904699802399,21.938198374294355
xy009_v2,326,68.2842710018158,20.37341629633241
xy009_v2,669,112.66904664039612,29.185565874723483
xy009_v2,3145,335.07820761203766,63.27984172066241
xy009_v2,942,175.19595801830292,34.63223427878316
xy009_v2,1326,182.85281193256378,41.08911822269767
xy009_v2,5767,304.977703332901,85.68997872848192
xy009_v2,3946,269.2792179584503,70.88161428413544
xy009_v2,1003,123.94112479686737,35.73596596384892
xy009_v2,2754,205.92387986183167,59.21572178231587
xy009_v2,2732,200.61017167568207,58.978728675824
xy009_v2,1505,154.71067667007446,43.77471318953923
xy009_v2,3061,211.8233758211136,62.42904969991401
xy009_v2,846,122.66904652118683,32.82012575914278
xy009_v2,365,84.42640614509583,21.557653718072718
xy009_v2,238,57.455843687057495,17.407785949022028
xy009_v2,1760,167.19595766067505,47.33816218162558
xy009_v2,3162,228.6101711988449,63.450637825419726
xy009_v2,2327,299.5634888410568,54.43186953062263
xy009_v2,209,64.04163014888763,16.312788383647018
xy009_v2,94,34.72792184352875,10.940041919714261
xy009_v2,238,61.455843687057495,17.407785949022028
xy009_v2,7380,374.24978053569794,96.93558603601414
xy009_v2,508,86.28427064418793,25.43237481489809
xy009_v2,123,40.38477599620819,12.514330345744634
xy009_v2,194,54.041630148887634,15.716503163191918
xy009_v2,369,85.84061968326569,21.675455981530703
xy009_v2,2964,210.02438521385193,61.43192989476256
xy009_v2,471,95.49747371673584,24.488687706168772
xy009_v2,4046,252.16652011871338,71.77414017596078
xy009_v2,6074,305.4213538169861,87.94121328888622
xy009_v2,4370,256.2081514596939,74.59260560198082
xy009_v2,180,52.041630029678345,15.138795132120961
xy009_v2,810,116.87005722522736,32.11423409074988
xy009_v2,1585,174.36753046512604,44.92309738213999
xy009_v2,2748,222.12488996982574,59.15118146691769
xy009_v2,1829,238.30865609645844,48.257176951419495
xy009_v2,287,77.11269772052765,19.115955360352558
xy009_v2,4039,261.48022854328156,71.71202494132572
xy009_v2,6640,316.55129647254944,91.94732501297403
xy009_v2,1732,163.33809232711792,46.960098929637084
xy009_v2,273,70.04163014888763,18.643883600599406
xy009_v2,1796,167.29646277427673,47.81985175995794
xy009_v2,557,108.42640590667725,26.63070457981699
xy009_v2,223,56.14213538169861,16.85029431422316
xy009_v2,160,51.455843687057495,14.27299292922217
xy009_v2,334,67.35533833503723,20.62188177498708
xy009_v2,1999,178.75230717658997,50.45003320044091
xy009_v2,1678,169.15432786941528,46.2222452512381
xy009_v2,2410,203.37972271442413,55.39410891793226
xy009_v2,3413,227.13708233833313,65.9209114483493
xy009_v2,2865,209.58073377609253,60.3972788763388
xy009_v2,978,164.71067690849304,35.28779214899948
xy009_v2,2065,176.95331692695618,51.27611198090307
xy009_v2,247,60.041630148887634,17.733870630789692
xy009_v2,2900,239.33809351921082,60.76507779746498
xy009_v2,1228,134.0832600593567,39.54160038408638
xy009_v2,360,71.11269772052765,21.409489393833255
xy009_v2,605,97.01219260692596,27.754457742221764
xy009_v2,855,132.85281252861023,32.99423905394037
xy009_v2,1772,160.71067667007446,47.49926813405348
xy009_v2,825,111.98275411128998,32.41022407214287
xy009_v2,1826,166.36753010749817,48.21758401959193
xy009_v2,5150,279.52185904979706,80.9764388904951
xy009_v2,1145,143.2964631319046,38.18192345497751
xy009_v2,575,93.5979790687561,27.05758189903005
xy009_v2,3230,230.7939372062683,64.1292735768508
xy009_v2,349,72.76955199241638,21.079862454783044
xy009_v2,1370,156.56854104995728,41.76527476609214
xy009_v2,5216,297.178711771965,81.49366518532965
xy009_v2,2634,199.137082695961,57.91125072757813
xy009_v2,5766,290.3502857685089,85.6825490688912
xy009_v2,3677,241.23758745193481,68.4229625636832
xy009_v2,2316,184.6101714372635,54.303064237726375
xy009_v2,1680,162.8528115749359,46.24978308224886
xy009_v2,368,74.04163014888763,21.646065519224038
xy009_v2,1233,137.8406194448471,39.6220186090822
xy009_v2,2233,187.68123924732208,53.3211393669867
xy009_v2,4330,263.6223646402359,74.25043588224418
xy009_v2,2575,200.75230622291565,57.25898905580716
xy009_v2,2175,183.43859815597534,52.62410103554244
xy009_v2,2249,185.82337546348572,53.5118280019416
xy009_v2,640,107.25483322143555,28.54598585844434
xy009_v2,5722,309.1787133216858,85.3550038074781
xy009_v2,2421,213.1370828151703,55.5203830840875
xy009_v2,463,82.18376529216766,24.279825147895533
xy009_v2,1182,143.639608502388,38.79393176615336
xy009_v2,300,64.72792184352875,19.544100476116796
xy009_v2,2745,209.09545254707336,59.11888488713248
xy009_v2,5267,282.20815074443817,81.89110258214932
xy009_v2,1371,146.56854164600372,41.780514786583325
xy009_v2,1460,148.46803665161133,43.115307436145436
xy009_v2,282,63.31370830535889,18.948708441878455
xy009_v2,2486,186.2670247554779,56.260763487635096
xy009_v2,3258,220.55129623413086,64.40663348403766
xy009_v2,896,117.15432786941528,33.77606596515802
xy009_v2,1601,156.8528118133545,45.14926922023208
xy009_v2,1061,125.39696836471558,36.754688911266925
xy009_v2,1016,122.32590115070343,35.96680938658481
xy009_v2,2358,197.58073568344116,54.793237233124984
xy009_v2,4003,249.7228705883026,71.39172149188487
xy009_v2,1388,148.66904652118683,42.038749839789546
xy009_v2,2298,229.48022854328156,54.09163034889413
xy009_v2,239,56.97056245803833,17.44431859350499
xy009_v2,1359,146.81118178367615,41.597266031496424
xy009_v2,949,122.56854093074799,34.76067214473376
xy009_v2,3481,242.7523068189621,66.57437085863525
xy009_v2,3694,246.50966608524323,68.58095127841032
xy009_v2,1596,158.95331716537476,45.078712419470456
xy009_v2,3594,234.007141828537,67.64630753986631
xy009_v2,307,73.69848430156708,19.77080019204319
xy009_v2,3460,222.85281193256378,66.373253836042
xy009_v2,901,119.49747359752655,33.87017611123954
xy009_v2,922,143.05382251739502,34.262616074167774
xy009_v2,1548,155.154327750206,44.39566212199151
xy009_v2,1736,166.71067678928375,47.01429409935071
xy009_v2,4797,278.3086564540863,78.15196796047158
xy009_v2,2514,199.09545278549194,56.57671089294781
xy009_v2,1647,161.9238804578781,45.79329132284349
xy009_v2,2125,184.36753129959106,52.01570947860099
xy009_v2,1561,154.1248903274536,44.581688273680136
xy009_v2,1203,134.81118190288544,39.137030703879425
xy009_v2,1407,147.39696836471558,42.32550105364819
xy009_v2,3219,226.3086564540863,64.01998199392506
xy009_v2,1540,148.56854116916656,44.28079605079555
xy009_v2,976,126.56854152679443,35.25169209643019
xy009_v2,1088,124.91168713569641,37.219411933450225
xy009_v2,965,120.32590126991272,35.0524772401243
xy009_v2,4352,253.32084941864014,74.43882386690045
xy009_v2,343,81.94112491607666,20.897874625046462
xy009_v2,2978,222.36753129959106,61.576841135457045
xy009_v2,1162,157.78174424171448,38.46432569254606
xy009_v2,316,80.18376541137695,20.0585068271871
xy009_v2,2594,196.99494779109955,57.46984756411846
xy009_v2,813,121.05382263660431,32.173649930800316
xy009_v2,359,70.87005722522736,21.37973331358283
xy009_v2,947,117.49747347831726,34.72402408800281
xy009_v2,456,80.52691125869751,24.095585330081406
xy009_v2,759,111.8406194448471,31.086794856562303
xy009_v2,1365,172.61017215251923,41.68899109553381
xy009_v2,4793,278.5929275751114,78.11937748033861
xy009_v2,400,76.52691173553467,22.56758334191025
xy009_v2,548,88.1837660074234,26.414679072721462
xy009_v2,840,129.49747359752655,32.703535245865034
xy009_v2,874,124.22539532184601,33.35882734897215
xy009_v2,1817,165.43859827518463,48.098609676203644
xy009_v2,4309,260.0660146474838,74.07016402212038
xy009_v2,361,76.66904675960541,21.43920417481474
xy009_v2,1230,178.9533177614212,39.573787284315486
xy009_v2,568,100.42640578746796,26.89237924411993
xy009_v2,1916,179.78174567222595,49.391567779455755
xy009_v2,3753,238.45079100131989,69.12646390052846
xy009_v2,574,94.08326041698456,27.034043328329254
xy009_v2,1941,221.33809351921082,49.71275446332612
xy009_v2,239,56.97056245803833,17.44431859350499
xy009_v2,8733,625.3036037683487,105.44762180425018
xy009_v2,604,95.35533833503723,27.73151068766428
xy009_v2,4760,264.10764622688293,77.84998543955788
xy009_v2,1500,189.3380937576294,43.70193722368317
xy009_v2,3321,226.85281217098236,65.02636794459211
xy009_v2,4221,255.27921891212463,73.30991828072871
xy009_v2,2196,185.0538227558136,52.877538144645285
xy009_v2,107,37.55634891986847,11.67204486311899
xy009_v2,4255,257.48022961616516,73.60458044747023
xy009_v2,3097,216.26702618598938,62.79508635271393
xy009_v2,1914,170.61017167568207,49.36578256872974
xy009_v2,392,74.52691090106964,22.34076770248023
xy009_v2,1113,178.85281217098236,37.64459607022283
xy009_v2,239,64.5269113779068,17.44431859350499
xy009_v2,474,85.94112479686737,24.566553364370574
xy009_v2,788,134.56854128837585,31.675112647807715
xy009_v2,563,101.15432822704315,26.77375326109316
xy009_v2,165,46.62741661071777,14.494292838262302
xy009_v2,555,91.94112479686737,26.582850624566497
xy009_v2,2842,210.99494743347168,60.15435799788185
xy009_v2,579,116.81118214130402,27.151532118863187
xy009_v2,804,118.18376529216766,31.99507140118726
xy009_v2,1722,172.0832600593567,46.8243365786847
xy009_v2,2270,194.02438485622406,53.76108040719438
xy009_v2,864,125.39696836471558,33.16743834924821
xy009_v2,650,101.11269772052765,28.76813695875796
xy009_v2,1872,199.58073318004608,48.821147341538634
xy009_v2,957,142.32590091228485,34.906879612929465
xy009_v2,4377,262.4507919549942,74.65232405830248
xy009_v2,328,70.28427076339722,20.435815879801165
xy009_v2,595,105.94112503528595,27.524126309792685
xy009_v2,572,91.84061908721924,26.986904594423443
xy009_v2,282,68.04163014888763,18.948708441878455
xy009_v2,270,62.28427076339722,18.5411616971131
xy009_v2,5386,281.5634902715683,82.81103904639518
xy009_v2,2608,214.5096663236618,57.624723276292656
xy009_v2,321,77.5979791879654,20.216574731145414
xy009_v2,3636,230.40916073322296,68.04042169664332
xy009_v2,618,123.63960897922516,28.05106127486678
xy009_v2,312,64.62741661071777,19.931149940667517
xy009_v2,3150,229.9238793849945,63.330123684671285
xy009_v2,433,85.84061968326569,23.480049464818542
xy009_v2,405,77.11269783973694,22.708192698181442
xy009_v2,656,100.76955187320709,28.900607975374268
xy009_v2,5512,288.69343388080597,83.77407934785208
xy009_v2,3874,243.13708305358887,70.23197274962466
xy009_v2,1623,167.0538226366043,45.45841815445374
xy009_v2,681,118.46803641319275,29.44615645486938
xy009_v2,3433,227.05382227897644,66.113775849484
xy009_v2,203,54.97056245803833,16.07692842495848
xy009_v2,1864,216.65180158615112,48.71671696026266
xy009_v2,7503,342.49242210388184,97.74004452704084
xy009_v2,2017,175.0954531431198,50.67666289063264
xy009_v2,642,108.56854116916656,28.590554169515052
xy009_v2,1617,234.55129647254944,45.37431370100002
xy009_v2,238,58.041630029678345,17.407785949022028
xy009_v2,1731,164.50966680049896,46.946540361740894
xy009_v2,2065,182.85281229019165,51.27611198090307
xy009_v2,1045,143.53910386562347,36.47650372840365
xy009_v2,5312,287.9066355228424,82.24018763131068
xy009_v2,2796,213.23758804798126,59.66554924811734
xy009_v2,187,52.627416491508484,15.430353037616328
xy009_v2,1904,182.6101713180542,49.2366539599895
xy009_v2,527,89.4558435678482,25.903614421069328
xy009_v2,501,102.91168737411499,25.25654394235911
xy009_v2,3100,223.58073353767395,62.825493143142175
xy009_v2,323,68.38477599620819,20.279456919490165
xy009_v2,2149,185.09545278549194,52.30862052889432
xy009_v2,600,95.15432810783386,27.63953195770684
xy009_v2,311,67.21320295333862,19.899183360445615
xy009_v2,443,85.11269760131836,23.74963406702674
xy009_v2,3850,237.27921986579895,70.01408606295148
xy009_v2,336,68.52691113948822,20.683531783305643
xy009_v2,624,98.04163014888763,28.18690255978371
xy009_v2,323,69.11269760131836,20.279456919490165
xy009_v2,4741,281.82337498664856,77.69445721278582
xy009_v2,1502,170.95331728458405,43.73106214342632
xy009_v2,261,60.870057225227356,18.229523339239496
xy009_v2,2062,178.95331704616547,51.238851872811374
xy009_v2,2785,212.91168761253357,59.548065729185765
xy009_v2,5354,290.39191818237305,82.5646687301055
xy009_v2,3560,234.50966775417328,67.32557299612964
xy009_v2,4999,276.89444231987,79.78047683569633
xy009_v2,306,88.18376553058624,19.738573927438622
xy009_v2,292,63.6984840631485,19.281751659604673
xy009_v2,3152,223.92388021945953,63.35022529561543
xy009_v2,880,143.2964630126953,33.47313548753602
xy009_v2,1337,150.2253954410553,41.25919620291836
xy009_v2,404,75.11269783973694,22.680140565547774
xy009_v2,1818,172.46803653240204,48.111843576488795
xy009_v2,912,114.18376541137695,34.07630356711932
xy009_v2,1859,167.88225054740906,48.651334140624215
xy009_v2,226,59.21320307254791,16.96325844612841
xy009_v2,120,40.14213538169861,12.360774464742066
xy009_v2,231,62.72792172431946,17.14987856615383
xy009_v2,5886,297.6639949083328,86.56955562038637
xy009_v2,1819,171.78174424171448,48.12507383758763
xy009_v2,962,123.49747383594513,34.997949111844065
xy009_v2,1110,133.74011433124542,37.59382787980004
xy009_v2,864,134.56854140758514,33.16743834924821
xy009_v2,4500,267.5634902715683,75.6939756606048
xy009_v2,511,99.0121922492981,25.507359866510456
xy009_v2,539,91.74011421203613,26.196872229566885
xy009_v2,481,94.66904652118683,24.747287144606645
xy009_v2,3864,248.40916085243225,70.14126888541915
xy009_v2,1884,173.39696848392487,48.977375412337544
xy009_v2,1948,188.16652131080627,49.802315539983645
xy009_v2,4700,271.48022866249084,77.35777827895049
xy009_v2,3270,226.95331740379333,64.52513704971096
xy009_v2,5095,273.48022842407227,80.54287976243246
xy009_v2,1455,149.53910386562347,43.04141653790755
xy009_v2,1988,172.71067643165588,50.31103472334378
xy009_v2,691,104.18376553058624,29.661566469288122
xy009_v2,2350,192.1248905658722,54.700209598571305
xy009_v2,1147,139.63960933685303,38.2152555638613
xy009_v2,1038,134.62741649150848,36.3541283410165
xy009_v2,3554,230.89444291591644,67.26881403732914
xy009_v2,397,75.69848418235779,22.48279562821002
xy009_v2,3273,221.82337391376495,64.55472895085369
xy009_v2,753,106.56854152679443,30.96367835360614
xy009_v2,2156,181.58073508739471,52.39374445913377
xy009_v2,2630,198.3086565732956,57.8672619246278
xy009_v2,9337,379.5634891986847,109.03319507926113
xy009_v2,5231,278.8355712890625,81.61075945308704
xy009_v2,1453,152.468035697937,43.01182463579279
xy009_v2,2755,227.13708364963531,59.226471663820845
xy009_v2,974,120.12489020824432,35.21555503711461
xy009_v2,2542,195.82337510585785,56.89090369045638
xy009_v2,1998,169.53910541534424,50.43741280419581
xy009_v2,3319,226.06601560115814,65.0067846380361
xy009_v2,3123,223.92387926578522,63.058124759684326
xy009_v2,3166,224.26702558994293,63.49075837184121
xy009_v2,3559,232.20815193653107,67.31611649309876
xy009_v2,5068,276.24978148937225,80.32918531093046
xy009_v2,2581,203.68123960494995,57.325659742923634
xy009_v2,806,112.28427064418793,32.03484154879717
xy009_v2,280,63.012192487716675,18.881394877652593
xy009_v2,3395,261.86500442028046,65.74684976769517
xy009_v2,4128,271.338093996048,72.49781266125724
xy009_v2,462,81.11269783973694,24.253590861306396
