Imagen,Scene_coordinate_system,Area_px,Area_mm2,Perimetro_px,Perimetro_mm,Diametro_px,Diametro_mm,Escala_mm_por_px,Porcentaje_no_pintado
xy097,-16.41414,577,0.27006864829881655,131.1959593296051,2.8383741201116486,27.104597715372734,0.5863975467268139,0.021634615384615384,2.4875858745929573
xy097,-16.41414,2409,1.12754830806213,206.91168677806854,4.476454762025521,55.38261517179382,1.198181578235924,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1038,0.4858427329881656,145.4558435678482,3.1468812310351773,36.3541283410165,0.7865075843008377,0.021634615384615384,2.4875858745929573
xy097,-16.41414,401,0.18769068971893488,77.21320295333862,1.6704779485097299,22.595775212167435,0.48885090603246856,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1417,0.6632361778846153,165.78174495697021,3.5866242899344516,42.47564519686223,0.9189442470475002,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1213,0.567752634985207,152.56854379177094,3.3007617647258134,39.299358363257696,0.8502265030512483,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1035,0.4844385632396449,143.01219308376312,3.0940137926775675,36.301555459799424,0.7853701902360453,0.021634615384615384,2.4875858745929573
xy097,-16.41414,8438,3.9494614460059165,524.5340515375137,11.348092461148134,103.65131585501123,2.2424563526324546,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1522,0.7123821190828402,186.7106773853302,4.039413693432625,44.02125153930676,0.9523828458023097,0.021634615384615384,2.4875858745929573
xy097,-16.41414,3908,1.8291651257396448,289.1370828151703,6.255369580135896,70.53949348290655,1.5260948109282666,0.021634615384615384,2.4875858745929573
xy097,-16.41414,5792,2.7109837278106506,322.3919150829315,6.974825085928806,85.87551131205021,1.857883658193394,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1963,0.9187950721153845,215.86500477790833,4.670156353368209,49.9936918652256,1.0815942951611308,0.021634615384615384,2.4875858745929573
xy097,-16.41414,580,0.27147281804733725,89.21320283412933,1.9300933305460672,27.17496892263898,0.5879200007301701,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1947,0.9113061667899407,202.7106773853302,4.385567539586471,49.789530963841806,1.0771773525831159,0.021634615384615384,2.4875858745929573
xy097,-16.41414,715,0.3346604567307692,104.76955199241638,2.266648961374393,30.172276587716105,0.6527655992534734,0.021634615384615384,2.4875858745929573
xy097,-16.41414,3453,1.6161993805473371,263.0365780591965,5.690695198396077,66.30607926857473,1.434506522637434,0.021634615384615384,2.4875858745929573
xy097,-16.41414,336,0.15726701183431951,70.28427076339722,1.5205731655542667,20.683531783305643,0.44748025492728555,0.021634615384615384,2.4875858745929573
xy097,-16.41414,9202,4.307056675295858,403.66399466991425,8.73311526930103,108.24209112287589,2.341776009869911,0.021634615384615384,2.4875858745929573
xy097,-16.41414,3892,1.821676220414201,303.78174579143524,6.572201231064705,70.39494518862311,1.5229675641769422,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1471,0.6885112333579881,161.01219236850739,3.4834368541263614,43.27742333255787,0.9362904086370694,0.021634615384615384,2.4875858745929573
xy097,-16.41414,401,0.18769068971893488,76.76955187320709,1.660879728026115,22.595775212167435,0.48885090603246856,0.021634615384615384,2.4875858745929573
xy097,-16.41414,954,0.44652598002958577,123.25483334064484,2.66657091361972,34.8521236896311,0.7540122913622113,0.021634615384615384,2.4875858745929573
xy097,-16.41414,2596,1.2150748890532543,243.823375582695,5.275024952510228,57.49199820959855,1.243817268957661,0.021634615384615384,2.4875858745929573
xy097,-16.41414,548,0.2564950073964497,137.79898941516876,2.9812281363858624,26.414679072721462,0.5714714222463778,0.021634615384615384,2.4875858745929573
xy097,-16.41414,3351,1.568457609097633,264.89444375038147,5.730889408061137,65.31941299803245,1.4131603773612789,0.021634615384615384,2.4875858745929573
xy097,-16.41414,4140,1.9377542529585796,287.7645012140274,6.22567430511117,72.60311091959885,1.5707403804720905,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1184,0.5541789940828402,168.26702558994293,3.64039238055165,38.826738479640966,0.8400015536460785,0.021634615384615384,2.4875858745929573
xy097,-16.41414,387,0.1811378975591716,81.0121921300888,1.7526676181990366,22.197831060995757,0.480241537377312,0.021634615384615384,2.4875858745929573
xy097,-16.41414,5947,2.7835324981508873,329.20309829711914,7.122182415081904,87.01698439120959,1.8825789892328997,0.021634615384615384,2.4875858745929573
xy097,-16.41414,2667,1.248306906434911,218.26702570915222,4.722123152361466,58.27289134587951,1.2607115916175855,0.021634615384615384,2.4875858745929573
xy097,-16.41414,227,0.10624884430473372,59.112698435783386,1.278880495004929,17.000746355818674,0.3678046086595386,0.021634615384615384,2.4875858745929573
xy097,-16.41414,5338,2.498486039201183,339.3797243833542,7.342349806370644,82.44120747415275,1.7835838155465737,0.021634615384615384,2.4875858745929573
xy097,-16.41414,480,0.22466715976331358,96.18376517295837,2.0808987657611184,24.721548929484133,0.5348412028013394,0.021634615384615384,2.4875858745929573
xy097,-16.41414,589,0.2756853272928994,95.94112503528595,2.0756493397057056,27.384997568906428,0.5924638897119179,0.021634615384615384,2.4875858745929573
xy097,-16.41414,405,0.18956291605029585,84.18376529216766,1.821283383724781,22.708192698181442,0.491283015104887,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1135,0.5312442215236686,136.81118214130402,2.9598573059416733,38.014824519842385,0.8224361074004362,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1461,0.6838306675295858,176.02438533306122,3.808219874994113,43.130070424914365,0.9331024851543973,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1163,0.5443498058431953,146.12489020824432,3.1613557977745166,38.48087304787918,0.8325188880550783,0.021634615384615384,2.4875858745929573
xy097,-16.41414,243,0.1137377496301775,56.627416491508484,1.2251123760182123,17.58969042850512,0.3805461871551588,0.021634615384615384,2.4875858745929573
xy097,-16.41414,3439,1.609646588387574,290.89444291591644,6.293389390007808,66.17152555551537,1.431595504806823,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1225,0.5733693139792899,157.98275482654572,3.4178961380743065,39.493270848342945,0.8544217250843426,0.021634615384615384,2.4875858745929573
xy097,-16.41414,866,0.4053370007396449,124.7695517539978,2.699341263908606,33.20580439833751,0.7183948066948019,0.021634615384615384,2.4875858745929573
xy097,-16.41414,8380,3.922314164201183,417.7716407775879,9.038328766822815,103.29446928505254,2.234736114340079,0.021634615384615384,2.4875858745929573
xy097,-16.41414,7991,3.7402401534763308,447.8305175304413,9.688641004264355,100.86851442337537,2.182251513967256,0.021634615384615384,2.4875858745929573
xy097,-16.41414,4961,2.322028707470414,307.5634889602661,6.654017790005757,79.47667193227923,1.7194472293041179,0.021634615384615384,2.4875858745929573
xy097,-16.41414,3803,1.78001918454142,348.49242103099823,7.539499493459096,69.585415056805,1.5054536911328005,0.021634615384615384,2.4875858745929573
xy097,-16.41414,553,0.25883529031065083,95.11269772052765,2.0577266333768,26.534910368014152,0.5740725800772293,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1124,0.526095599112426,158.56854116916656,3.430569400294469,37.83016320718592,0.8184410309246953,0.021634615384615384,2.4875858745929573
xy097,-16.41414,624,0.29206730769230765,94.14213526248932,2.0367288878903937,28.18690255978371,0.6098127957645514,0.021634615384615384,2.4875858745929573
xy097,-16.41414,3964,1.855376294378698,291.0782096385956,6.297365112373462,71.04309646496404,1.5369900677516257,0.021634615384615384,2.4875858745929573
xy097,-16.41414,6375,2.9838607156065087,334.10764586925507,7.228290415440614,90.09385160867895,1.949145828072381,0.021634615384615384,2.4875858745929573
xy097,-16.41414,230,0.10765301405325442,55.455844044685364,1.1997658567359815,17.112717355495807,0.37022705817178425,0.021634615384615384,2.4875858745929573
xy097,-16.41414,2864,1.3405140532544377,241.86500668525696,5.232656394632963,60.38673741908488,1.3064438383936632,0.021634615384615384,2.4875858745929573
xy097,-16.41414,2599,1.216479058801775,215.01219272613525,4.651706092632733,57.52520818533982,1.2445357540097557,0.021634615384615384,2.4875858745929573
xy097,-16.41414,2585,1.2099262666420116,250.85281145572662,5.427104093994085,57.370063823743436,1.2411792654175262,0.021634615384615384,2.4875858745929573
xy097,-16.41414,788,0.36882858727810647,113.79898941516876,2.461997367155093,31.675112647807715,0.6852788793996861,0.021634615384615384,2.4875858745929573
xy097,-16.41414,2281,1.0676370654585798,217.13708245754242,4.697677264706447,53.89118111102137,1.1659149759595968,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1162,0.5438817492603549,135.25483310222626,2.92618629307701,38.46432569254606,0.8321608923868138,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1090,0.5101816752958579,132.28427064418793,2.8619193168213735,37.253605245148115,0.8059674211690698,0.021634615384615384,2.4875858745929573
xy097,-16.41414,157,0.07348488350591716,44.62741672992706,0.965496996560922,14.138550439257221,0.3058821008493149,0.021634615384615384,2.4875858745929573
xy097,-16.41414,5503,2.575715375369822,365.80613005161285,7.91407492900124,83.70565819989471,1.8109397206707991,0.021634615384615384,2.4875858745929573
xy097,-16.41414,197,0.09220714681952662,52.041630268096924,1.1259006548386354,15.837556323903858,0.34263943969984306,0.021634615384615384,2.4875858745929573
xy097,-16.41414,3740,1.750531619822485,291.09545254707336,6.297738156066491,69.00663661786095,1.4929320422133379,0.021634615384615384,2.4875858745929573
xy097,-16.41414,4853,2.2714785965236683,316.3919185400009,6.845017468413481,78.60681592966188,1.7006282292474926,0.021634615384615384,2.4875858745929573
xy097,-16.41414,265,0.12403499445266271,57.94112551212311,1.2535339654065094,18.36868202552426,0.39739937074451526,0.021634615384615384,2.4875858745929573
xy097,-16.41414,913,0.42733566013313606,130.71067667007446,2.82787521641988,34.09498063268556,0.7376317925340626,0.021634615384615384,2.4875858745929573
xy097,-16.41414,617,0.288790911612426,101.1543276309967,2.1884349727859864,28.02835705319874,0.6063827247086265,0.021634615384615384,2.4875858745929573
xy097,-16.41414,5887,2.755449103180473,318.45079147815704,6.889560392556282,86.57690916090678,1.8730581308850025,0.021634615384615384,2.4875858745929573
xy097,-16.41414,1089,0.5097136187130177,133.49747371673584,2.888166498679381,37.23651251415192,0.8055976265080944,0.021634615384615384,2.4875858745929573
xy097,-16.41414,5180,2.4245330991124256,352.4924215078354,7.6260379653137464,81.21195011652007,1.7569893054054824,0.021634615384615384,2.4875858745929573
